v1,v2
business,"A peek inside the process.: First thing's first, Homespun is an album of demos for Apple Venus. If you don't have that record, look there first (although if you're new to XTC, Skylarking is the usual recommendation).So a collection of demos, what to expect? Essentially it's a track-by-track match for Apple Venus. Sonically, you couldn't tell it's so much a set of demos except in a couple places (Frivolous Tonight) because it sounds so complete, in fact to the point where some pieces sound virtually identical to their final takes-- even in places you wouldn't expect it like orchestral workouts River of Orchids and Green Man.Is it interesting? Yeah, extremely, and in a lot of places it can be as good or better than the original (Knights in Shining Karma), but truth to be told, unless you're a diehard, you probably don't need to hear the work versions of this material. More casual fans definitely want to check out Apple Venus, it's a fine record."
personal,Well thats nice. Too bad i cant eat it
personal,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
personal,K.i will send in  &lt;#&gt;  min:)
personal,Reckon need to be in town by eightish to walk from * carpark.
business,"Don't Take the Chance - Get the SE Branded Cable: If you purchase this data cable, you need to know that you will receive no real directions or information regarding what to check if nothing works. As directed, I downloaded all of the files from the SE site (70MB on dial up!), and then downloaded all of the user guides. Everything seemed to install ok, but nothing would make my phone be recognized. After that I scoured the SE site for troubleshooting info on their branded cable-in the hope that something would help me figure out the problem. After 2 full days of beating my head against the wall, I finally threw the cable and the useless CD that came with it in the trash.If I had used my brain I would have paid the extra $$ for a SE branded cable and software (and the support that comes along with that). I now have the real deal (SE data cable and software), and guess what? Yep, installation was a breeze and it works beautifully. You really do get what you pay for."
personal,Sorry de i went to shop.
personal,S s..first time..dhoni rocks...
personal,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.
personal,Do Ã_ noe if ben is going?
personal,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).
personal,Ok no prob
personal,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
personal,So are you guys asking that i get that slippers again or its gone with last year
personal,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you
personal,When i have stuff to sell i.ll tell you
personal,"Ah, well that confuses things, doesnâ€˜t it?"
business,Simply Awesome!: This was only my first Cornwell novel and I'm hooked! In the past few months I have managed to collect all of her books and I can't wait to dive into them! This summer will be a suspensful one for Scarpetta and I.
personal,I'm also came to room.
personal,Why did I wake up on my own &gt;:(
personal,What Today-sunday..sunday is holiday..so no work..
personal,If you were/are free i can give. Otherwise nalla adi entey nattil kittum
personal,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
personal,Yes baby! We can study all the positions of the kama sutra ;)
personal,How much it will cost approx . Per month.
personal,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
personal,Aight do you still want to get money
personal,Great. Have a safe trip. Dont panic surrender all.
personal,"Ya tel, wats ur problem.."
personal,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
personal,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
personal,In which place i can get rooms cheap:-)
personal,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*"
personal,Are you going to write ccna exam this week??
personal,"Hi elaine, is today's meeting confirmed?"
personal,Probably gonna swing by in a wee bit
personal,Yup i've finished c Ã_ there...
personal,Tell me whos this pls:-)
personal,Its normally hot mail. Com you see!
personal,I will see in half an hour
personal,\alright babe
personal,No. Yes please. Been swimming?
personal,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
personal,Hey are you angry with me. Reply me dr.
personal,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
personal,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.
personal,U should make a fb list
personal,Have you got Xmas radio times. If not i will get it now
personal,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
personal,Then dun wear jeans lor...
personal,Okay... I booked all already... Including the one at bugis.
personal,I'm still looking for a car to buy. And have not gone 4the driving test yet.
personal,I think it's all still in my car
personal,Yar lor... How u noe? U used dat route too?
personal,We got a divorce. Lol. She.s here
personal,Wah... Okie okie... Muz make use of e unlimited... Haha... 
personal,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
personal,Aiyo a bit pai seh Ã_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
personal,Ãœ eatin later but i'm eatin wif my frens now lei... Ãœ going home first? 
personal,"\HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!\"""""
business,"Worst Night World book: This is the worst book in the Night World series. Gillian is LJ Smith's worst heroine[Mary Lynette is the best] Gillian is superficial, all she thinks about is being the most popular girl at school and getting David. David is the worst Night World hero[Thierry is the best]. He is stupid[he cheated on the SATs].If you haven't read any of the Night World books, don't start with this one."
personal,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
personal,"That's what I love to hear :V see you sundayish, then"
personal,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
personal,Hmm ill have to think about it... ok you're forgiven! =D
personal,Can you please send me my aunty's number
business,"Great DVD packed with a ton of features!: I've seen Mad Max dozens of times, but after watching the new SE DVD it was like watching it again for the very first time! That is not an exaggeration. The new DVD offers the choice of the poorly dubbed US soundtrack or the original Australian soundtrack. Watch the original track! The pacing of the film changes entirely, as do the characters. The original soundtrack breathes new life into this film.The features are great, there's a trivia track that pops up info about the production, cars, and Aussie slang terms used as you watch it, 2 documentaries, TV spots, theater trailer, and more.The print is fabulous, and it turns out this is a film you really need to see in widescreen. Having seen it both ways now I can tell you that the pan & scanned version misses a lot of the stuntwork and chase scene action. If you've seen this movie in the past and thought, 'It was OK' this new DVD will have you saying, 'It was great!'"
business,"Tongue hurt my ankle: The shoe seemed nice. I purchased the 2E version since I read in another review that they can be tight. Unfortunately, the top of the tongue bit into my ankle when I tied the shoe. Didn't matter which sock I wore. I had to return."
personal,Okie...
personal,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
personal,"What do u reckon as need 2 arrange transport if u can't do it, thanks"
personal,Id onluy matters when getting on from offcampus
personal,Ok. Very good. Its all about making that money.
personal,Good morning princess! How are you?
personal,Went to ganesh dress shop
personal,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx
personal,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
personal,R u here yet? I'm wearing blue shirt n black pants.
personal,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
business,"Crap, Junk, Worthless, etc: The other 1-star poster is absolutely correct; these things are crap. I ordered two of them for both my kids and neither worked at all. The rockets didn't seal on the pump so no pressure could be pumped into them, thus making them useless. I had high hopes for this toy because of my love for it when I was younger. As always, the quality of these nostalgic toys leave much to be desired (I'm looking at you, Evel Knievel Dare Devil Stunt Set!). The price is cheap, but the quality is cheaper."
personal,In which place do you want da.
personal,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
business,"Deserving of the Pulitzer it won; but don't be scared by it.: Remnick won the Pulitzer for this unwrapping of 70 plus years of communist control of a collection of nations. In depth, he discusses the purges, the environment and events that allowed them to occur, the Russian view of the Patriotic War (WWII), the rise and fall of communism. Communism was doomed from the start. Here, Remnick explains exactly why. The Russian people are wonderful, I've met many of them. This book also gives the reader an understanding of the world in which they grew up. A world where Stalin was (literally) God. A world without independent thought. Fascinating, heart wrenching. Very readable."
personal,Hey i'm bored... So i'm thinking of u... So wat r u doing?
personal,Waiting in e car 4 my mum lor. U leh? Reach home already?
personal,"Sorry, I'll call later in meeting"
personal,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
personal,May b approve panalam...but it should have more posts..
personal,Goodnight da thangam I really miss u dear.
personal,Try neva mate!!
personal,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..
personal,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!
personal,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
personal,So what about you. What do you remember
personal,"Yeah, where's your class at?"
personal,"Jay told me already, will do"
business,"I'm glad I didn't pay for it.: I received this as a Christmas gift from a friend who knows I like hot tea. ALL of the tea was some variation on flavors of green tea. I avoid drinking caffein, which green tea contains, so I gave away all of the tea and kept the chest to fill with my own selections. The chest is kind of cheap (paper glued over something, as described by another reviewer). It's pretty, but I don't expect it to hold up."
personal,Hey we can go jazz power yoga hip hop kb and yogasana 
personal,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
personal,o turns out i had stereo love on mi phone under the unknown album.
personal,I am in a marriage function
personal,Can u get pic msgs to your phone?
personal,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
personal,3 pa but not selected.
personal,"Not yet chikku..going to room nw, i'm in bus.."
personal,Apart from the one i told you about yesterday?
personal,I cant pick the phone right now. Pls send a message
personal,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?
personal,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time..."
personal,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
personal,I'm already back home so no probably not
personal,No message..no responce..what happend?
personal,No. On the way home. So if not for the long dry spell the season would have been over
business,"Wonderful, baffling mix: This has just about everything. The rabbi, of course, is learned and devout, even if his schooling causes some nervousness. The cat becomes fantastical when some mystery grants him human speech. The visit abroad captures all the distrust of the alien that the most insular of small-towners can summon. And, around all of that, the monotonous drama of life unfolds: loves, losses, and changes that no one knows how to ride out.Comics have moved well past the BamPow genre into many other idioms - this might border on chick lit, but much less than some. If reality and fantasy remain negotiable for you, with deep family devotions and deeper (or shallower) personal ones, the ragged lines of this comic might touch you.-- wiredweird"
personal,If i not meeting Ã_ all rite then i'll go home lor. If Ã_ dun feel like comin it's ok.
personal,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
personal,"Machan you go to gym tomorrow,  i wil come late goodnight."
personal,Ãœ mean it's confirmed... I tot they juz say oni... Ok then... 
personal,Is fujitsu s series lifebook good?
personal,Lemme know when you're here
personal,I'm in office now da:)where are you?
personal,K...k:)why cant you come here and search job:)
personal,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?"
personal,Am watching house â€“ very entertaining â€“ am getting the whole hugh laurie thing â€“ even with the stick â€“ indeed especially with the stick.
personal,"Hmm ok, i'll stay for like an hour cos my eye is really sore!"
personal,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?
personal,"Awesome, be there in a minute"
personal, &lt;#&gt;  mins but i had to stop somewhere first.
personal,So how's the weather over there?
personal,hanks lotsly!
personal,I have a sore throat. It's scratches when I talk
personal,Yes. Last  practice
personal,Oooh bed ridden ey? What are YOU thinking of?
personal,Wrong phone! This phone! I answer this one but assume the other is people i don't well
personal,Ok. I asked for money how far
personal,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
personal,Ok i msg u b4 i leave my house.
personal,It shall be fine. I have avalarr now. Will hollalater
personal,"Lol, oh you got a friend for the dog ?"
business,"Excellent product for the price: Durable and EXTREMELY comfortable. Loses a little air over extended use, but adding air very easy."
personal,Takin a shower now but yeah I'll leave when I'm done
personal,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
personal,Do u knw dis no. &lt;#&gt; ?
personal,He's in lag. That's just the sad part but we keep in touch thanks to skype
business,"Light reading, light in substance: A clich√©d storyline based on the classic Cyrano de Bergerac, this book reads like a rookie novel written by someone who has a knowledge and passion for Italian culture and cuisine, but little experience in developing a story. I can understand Bruno and his passion for cooking, but have no clue as to his passion for Laura. It seems to be primarily based on her being a blonde American. How exotic. Her character is so underdeveloped- we know she's studying art history, and she enjoys Bruno's cooking with a passion. That's about it. And Tomasso, he's just the clich√© for any over-sexed Mediterranean male who encounters foreign females.It's a light and entertaining read if you can get beyond all of the reasons you should put it down and walk away. That being said, I will, however, check out this author's more recent novels. He does seem to have a way with technical details, hopefully his storytelling has caught up."
personal,Ok lor...
personal,I dont want to hear anything
personal,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
personal,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
personal,Are you there in room.
personal,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x"
personal,I dont know exactly could you ask chechi.
business,"Very Disappointing.: I was hoping that this band would have evolved in some or any degree over the past decade, but sadly they have not. Having the courtney love message on this cd is further testament that this band is tapped out. Now that Kim is in her 40s, you'd think there would be more emphasis to release a breakthrough cd rather than these out-takes from the past."
personal,Yup but it's not giving me problems now so mayb i'll jus leave it...
personal,In that case I guess I'll see you at campus lodge
personal,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
personal,Just curious because my cuz asked what I was up to
personal,Eat jap done oso aft ur lect wat... Ãœ got lect at 12 rite... 
personal,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
personal,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later."
personal,Both :) i shoot big loads so get ready!
personal,Ok.
personal,Is ur paper today in e morn or aft?
personal,"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn"""
personal,"Cool, I'll text you in a few"
personal,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
personal,"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me"
personal,Am not interested to do like that.
personal,Am I the only one who doesn't stalk profiles?
personal,Ok thanx...
personal,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
personal,You call times job today ok umma and ask them to speed up
personal,* Thought I didn't see you.
personal,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
business,"Highway Robbery: It always amazes me how some outside vendors try to gouge consumers with their highly over-priced items on here. You can bet I'll never buy anything from this vendor, even if it is a great deal.This is a ridiculously high price for Red Bull. On sale in the stores one can find it for $1.50/can. Why would someone pay more than that online? Caveat emptor --- let the buyer beware!"
personal,Reverse is cheating. That is not mathematics.
personal,TaKe CaRE n gET WeLL sOOn
personal,I will see in half an hour
personal,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
business,Madonna is a great singer: Madonna is a great singer who sings an even better musical. She is so full of emotion that on her last wispers of Lament it actually sounds like she is about to enter immortality. While in the song Beuonos Aires she sounds like a ambitious young girl yelling for attention. She is a great actor. If I could change one thing it would be to switch Jimmy Nail and Jonathin Pryce because Nail should sing more songs and Price should sing less.
personal,Okie...
personal,Nope... C Ã_ then...
personal,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done."
personal,I'm freezing and craving ice. Fml
personal,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.
personal,Oh yeah I forgot. U can only take 2 out shopping at once.
personal,Ãœ still got lessons?  Ãœ in sch?
personal,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
business,"Its better then a normal bed: I just moved out of my moms house and I did'nt want to bring my huge bed/dressar with me so I got the airbed. Its been 2 months since I moved out and I'm still sleeping on it. You can have it fully inflated for a very firm bed or deflate it for a softer bed. I like mine halfway deflated, its like sleeping on a cloud."
personal,"I just got home babe, are you still awake ?"
business,I am so glad I found this!: At one time this cereal was available in my local stores. However it was discontinued. I searched the internet and finally found Quaker Oat Bran here. The cereal is great it is crunchy and holds the crunchiness even after you add the milk. I love the flavor and it helps to control my cholesterol too.
business,Charlie Brown Christmas: One of my favorite Christmas shows of all time! Great service from the provider.
personal,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
personal,Nice talking to you! please dont forget my pix :) i want to see all of you...
personal,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up
personal,"I'll see if I can swing by in a bit, got some things to take care of here firsg"
personal,I like dis sweater fr mango but no more my size already so irritating.
personal,Sorry i din lock my keypad.
personal,Ok. There may be a free gym about.
personal,Die... Now i have e toot fringe again...
business,"Simple, Durable, Fun game for all ages: This is an AWESOME game! Almost everyone know tic-tac-toe so it is EASY to learn and quick to play. You can't play just once! The twist is that your pieces are slightly different sizes - just big enough to gobble up your opponent. The first person to make tic-tac-toe wins, but it's not as easy as it looks when you're stuck in the mindset of just making three in a row and forget about the gobbling possibilities! My 4 and 5 year olds will beat me even when I'm trying to win! Excellent beginning critical thinking game. Grandparents loved playing it with the kids too."
personal,Boy you best get yo ass out here quick
personal,Customer place i will call you.
personal,Bbq this sat at mine from 6ish. Ur welcome 2 come
personal," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
personal,Dear how you. Are you ok?
personal,Have a good trip. Watch out for . Remember when you get back we must decide about easter.
personal,"Hey elaine, is today's meeting still on?"
personal,Well I'm going to be an aunty!
personal,Ok enjoy . R u there in home.
business,"Long and boring: I've read this book with much expectation, it was very boring all through out the book"
personal,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx
business,"Effective book for discussing physical death with a child: As a public school librarian, I would say that Lifetimes is an effective picture book for an adult to share with a child (or children) in dealing with the subject of death. However, as a person of faith, I would add that the scope of this book is limited to earthly life and therefore does not touch on the belief in life after death.The text states: Nothing that is alive goes on living for ever. This statement either reflects the authors' intent on only dealing with the concept of physical death, or it could be interpreted as their belief statement. This is why I'd suggest that Lifetimes be read by, or shared with, a caring adult who would be able to answer a child's questions based on a family's belief system."
personal,This single single answers are we fighting? Plus i said am broke and you didnt reply
personal,Eat at old airport road... But now 630 oredi... Got a lot of pple...
personal,Ok.ok ok..then..whats ur todays plan
personal,K:)k.are you in college?
personal,You call him and tell now infront of them. Call him now.
personal,Convey my regards to him
personal,Ãœ predict wat time Ã_'ll finish buying?
personal,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?
personal,Got smaller capacity one? Quite ex...
personal,Tell me again what your address is
personal,Are you this much buzy
personal,And is there a way you can send shade's stuff to her. And she has been wonderful too.
business,"Great CD: My lovely Pat has one of the GREAT voices of her generation. I have listened to this CD for YEARS and I still LOVE IT. When I'm in a good mood it makes me feel better. A bad mood just evaporates like sugar in the rain. This CD just oozes LIFE. Vocals are jusat STUUNNING and lyrics just kill. One of life's hidden gems. This is a desert isle CD in my book. Why she never made it big is just beyond me. Everytime I play this, no matter black, white, young, old, male, female EVERYBODY says one thing Who was that singing ?"
personal,Somebody should go to andros and steal ice
personal,"\What are youdoing later? Sar xxx\"""""
personal,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee..."
personal, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. 
personal,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*
personal,I reach home safe n sound liao...
personal,I will once i get home
personal,"Sorry, I'll call later"
personal,Pls pls find out from aunt nike.
personal,Ya! when are Ã_ taking ure practical lessons? I start in june..  
business,"Self Indulgent Nonsense: The operative word from the title is bums. This is a book about them and their self indulgent, self righteous idleness. A work with no redeeming features."
personal,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
personal,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
personal,I wanted to ask Ã_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
